                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                            Survival
                                                                            Standard    Number    Number
                           Timelist         day     Survival    Failure      Error      Failed     Left

                             0.0000      0.0000       1.0000           0           0       0       471  
                             3.0000      3.0000       0.9830      0.0170     0.00595       8       463  
                             7.0000      7.0000       0.8958      0.1042      0.0141      49       419  
                            14.0000     12.0000       0.8765      0.1235      0.0152      58       405  
                            21.0000     21.0000       0.8721      0.1279      0.0154      60       389  
                            28.0000     21.0000       0.8721      0.1279      0.0154      60       378  
                            35.0000     35.0000       0.8651      0.1349      0.0158      63       356  
                            42.0000     39.0000       0.8625      0.1375      0.0160      64       314  
                            49.0000     39.0000       0.8625      0.1375      0.0160      64       272  
                            56.0000     39.0000       0.8625      0.1375      0.0160      64       226  


                                              Summary Statistics for Time Variable day

                                                         Quartile Estimates
 
                                                    Point         95% Confidence Interval
                                      Percent    Estimate    Transform      [Lower      Upper)

                                           75       .        LOGLOG          .           .    
                                           50       .        LOGLOG          .           .    
                                           25       .        LOGLOG          .           .    


                                                         Mean    Standard Error

                                                      34.8200            0.5042

NOTE: The mean survival time and its standard error were underestimated because the largest observation was censored and the 
      estimation was restricted to the largest event time.


                                       Summary of the Number of Censored and Uncensored Values
 
                                                                               Percent
                                                 Total  Failed    Censored    Censored

                                                   471      64         407       86.41
                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                      Survival
                                                                      Standard    Number    Number
                                      day     Survival    Failure      Error      Failed     Left
                                  61.0000*           .           .           .      64       199  
                                  62.0000*           .           .           .      64       198  
                                  62.0000*           .           .           .      64       197  
                                  62.0000*           .           .           .      64       196  
                                  62.0000*           .           .           .      64       195  
                                  62.0000*           .           .           .      64       194  
                                  63.0000*           .           .           .      64       193  
                                  63.0000*           .           .           .      64       192  
                                  63.0000*           .           .           .      64       191  
                                  63.0000*           .           .           .      64       190  
                                  63.0000*           .           .           .      64       189  
                                  63.0000*           .           .           .      64       188  
                                  63.0000*           .           .           .      64       187  
                                  63.0000*           .           .           .      64       186  
                                  64.0000*           .           .           .      64       185  
                                  64.0000*           .           .           .      64       184  
                                  64.0000*           .           .           .      64       183  
                                  64.0000*           .           .           .      64       182  
                                  64.0000*           .           .           .      64       181  
                                  64.0000*           .           .           .      64       180  
                                  64.0000*           .           .           .      64       179  
                                  64.0000*           .           .           .      64       178  
                                  64.0000*           .           .           .      64       177  
                                  65.0000*           .           .           .      64       176  
                                  66.0000*           .           .           .      64       175  
                                  66.0000*           .           .           .      64       174  
                                  66.0000*           .           .           .      64       173  
                                  67.0000*           .           .           .      64       172  
                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                      Survival
                                                                      Standard    Number    Number
                                      day     Survival    Failure      Error      Failed     Left

                                  67.0000*           .           .           .      64       171  
                                  67.0000*           .           .           .      64       170  
                                  68.0000*           .           .           .      64       169  
                                  68.0000*           .           .           .      64       168  
                                  68.0000*           .           .           .      64       167  
                                  68.0000*           .           .           .      64       166  
                                  68.0000*           .           .           .      64       165  
                                  69.0000*           .           .           .      64       164  
                                  69.0000*           .           .           .      64       163  
                                  69.0000*           .           .           .      64       162  
                                  69.0000*           .           .           .      64       161  
                                  69.0000*           .           .           .      64       160  
                                  69.0000*           .           .           .      64       159  
                                  70.0000*           .           .           .      64       158  
                                  70.0000*           .           .           .      64       157  
                                  70.0000*           .           .           .      64       156  
